Crank Angle	PCYL1	CAM_TRIG	
deg	bar	V	
-0.6	42.783		
-0.5	42.802		
-0.4	42.815		
-0.3	42.828		
-0.2	42.839		
-0.1	42.850		
0.0	42.855	0.85920	
0.1	42.860		
0.2	42.863		
0.3	42.863		
0.4	42.866		
0.5	42.860		
0.6	42.855		
0.7	42.850		
0.8	42.844		
0.9	42.834		
1.0	42.823	0.85920	
1.1	42.815		
1.2	42.802		
1.3	42.788		
1.4	42.775		
1.5	42.754		
1.6	42.735		
1.7	42.719		
1.8	42.698		
1.9	42.674		
2.0	42.647	0.85920	
2.1	42.620		
2.2	42.586		
2.3	42.551		
2.4	42.527		
2.5	42.487		
2.6	42.453		
2.7	42.410		
2.8	42.367		
2.9	42.325		
3.0	42.282	0.85920	
3.1	42.237		
3.2	42.186		
3.3	42.138		
3.4	42.088		
3.5	42.034		
3.6	41.981		
3.7	41.928		
3.8	41.874		
3.9	41.813		
4.0	41.757	0.85920	
4.1	41.693		
4.2	41.637		
4.3	41.576		
4.4	41.510		
4.5	41.440		
4.6	41.376		
4.7	41.307		
4.8	41.235		
4.9	41.163		
5.0	41.086	0.85952	
5.1	41.009		
5.2	40.931		
5.3	40.851		
5.4	40.772		
5.5	40.689		
5.6	40.606		
5.7	40.521		
5.8	40.433		
5.9	40.348		
6.0	40.263	0.85920	
6.1	40.172		
6.2	40.084		
6.3	39.991		
6.4	39.898		
6.5	39.807		
6.6	39.711		
6.7	39.618		
6.8	39.522		
6.9	39.421		
7.0	39.322	0.85920	
7.1	39.221		
7.2	39.120		
7.3	39.013		
7.4	38.912		
7.5	38.805		
7.6	38.702		
7.7	38.592		
7.8	38.486		
7.9	38.374		
8.0	38.267	0.85920	
8.1	38.155		
8.2	38.044		
8.3	37.932		
8.4	37.817		
8.5	37.703		
8.6	37.591		
8.7	37.473		
8.8	37.359		
8.9	37.239		
9.0	37.122	0.85920	
9.1	36.999		
9.2	36.882		
9.3	36.762		
9.4	36.642		
9.5	36.520		
9.6	36.397		
9.7	36.275		
9.8	36.149		
9.9	36.024		
10.0	35.902	0.85920	
10.1	35.776		
10.2	35.651		
10.3	35.523		
10.4	35.396		
10.5	35.273		
10.6	35.145		
10.7	35.015		
